,0
931,"26.1,-81.6"
932,"27.1,-81.6"
933,"28.1,-81.6"
934,"29.1,-81.6"
935,"30.1,-81.6"
936,"31.1,-81.6"
937,"32.1,-81.6"
938,"33.1,-81.6"
939,"34.1,-81.6"
940,"35.1,-81.6"
941,"36.1,-81.6"
942,"37.1,-81.6"
943,"38.1,-81.6"
944,"39.1,-81.6"
945,"40.1,-81.6"
946,"41.1,-81.6"
947,"42.1,-81.6"
948,"43.1,-81.6"
949,"44.1,-81.6"
950,"45.1,-81.6"
951,"46.1,-81.6"
952,"47.1,-81.6"
953,"48.1,-81.6"
954,"23.1,-80.6"
955,"24.1,-80.6"
956,"25.1,-80.6"
957,"26.1,-80.6"
958,"27.1,-80.6"
959,"28.1,-80.6"
960,"29.1,-80.6"
961,"30.1,-80.6"
962,"31.1,-80.6"
963,"32.1,-80.6"
964,"33.1,-80.6"
965,"34.1,-80.6"
966,"35.1,-80.6"
967,"36.1,-80.6"
968,"37.1,-80.6"
969,"38.1,-80.6"
970,"39.1,-80.6"
971,"40.1,-80.6"
972,"41.1,-80.6"
973,"42.1,-80.6"
974,"43.1,-80.6"
975,"44.1,-80.6"
976,"45.1,-80.6"
977,"46.1,-80.6"
978,"47.1,-80.6"
979,"48.1,-80.6"
980,"23.1,-79.6"
981,"24.1,-79.6"
982,"25.1,-79.6"
983,"26.1,-79.6"
984,"27.1,-79.6"
985,"28.1,-79.6"
986,"29.1,-79.6"
987,"30.1,-79.6"
988,"31.1,-79.6"
989,"32.1,-79.6"
990,"33.1,-79.6"
991,"34.1,-79.6"
992,"35.1,-79.6"
993,"36.1,-79.6"
994,"37.1,-79.6"
995,"38.1,-79.6"
996,"39.1,-79.6"
997,"40.1,-79.6"
998,"41.1,-79.6"
999,"42.1,-79.6"
1000,"43.1,-79.6"
1001,"44.1,-79.6"
1002,"45.1,-79.6"
1003,"46.1,-79.6"
1004,"47.1,-79.6"
1005,"48.1,-79.6"
1006,"23.1,-78.6"
1007,"24.1,-78.6"
1008,"25.1,-78.6"
1009,"26.1,-78.6"
1010,"27.1,-78.6"
1011,"28.1,-78.6"
1012,"29.1,-78.6"
1013,"30.1,-78.6"
1014,"31.1,-78.6"
1015,"32.1,-78.6"
1016,"33.1,-78.6"
1017,"34.1,-78.6"
1018,"35.1,-78.6"
1019,"36.1,-78.6"
1020,"37.1,-78.6"
1021,"38.1,-78.6"
1022,"39.1,-78.6"
1023,"40.1,-78.6"
1024,"41.1,-78.6"
1025,"42.1,-78.6"
1026,"43.1,-78.6"
1027,"44.1,-78.6"
1028,"45.1,-78.6"
1029,"46.1,-78.6"
1030,"47.1,-78.6"
1031,"48.1,-78.6"
1032,"23.1,-77.6"
1033,"24.1,-77.6"
1034,"25.1,-77.6"
1035,"26.1,-77.6"
1036,"27.1,-77.6"
1037,"28.1,-77.6"
1038,"29.1,-77.6"
1039,"30.1,-77.6"
1040,"31.1,-77.6"
1041,"32.1,-77.6"
1042,"33.1,-77.6"
1043,"34.1,-77.6"
1044,"35.1,-77.6"
1045,"36.1,-77.6"
1046,"37.1,-77.6"
1047,"38.1,-77.6"
1048,"39.1,-77.6"
1049,"40.1,-77.6"
1050,"41.1,-77.6"
1051,"42.1,-77.6"
1052,"43.1,-77.6"
1053,"44.1,-77.6"
1054,"45.1,-77.6"
1055,"46.1,-77.6"
1056,"47.1,-77.6"
1057,"48.1,-77.6"
1058,"23.1,-76.6"
1059,"24.1,-76.6"
1060,"25.1,-76.6"
1061,"26.1,-76.6"
1062,"27.1,-76.6"
1063,"28.1,-76.6"
1064,"29.1,-76.6"
1065,"30.1,-76.6"
1066,"31.1,-76.6"
1067,"32.1,-76.6"
1068,"33.1,-76.6"
1069,"34.1,-76.6"
