Category,Resource,State,Year,Month,Value(thousand tons),state_year_month
Total consumption , petroleum coke , Kentucky ,2006,8,109.21, Kentucky 20068
Total consumption , petroleum coke , Kentucky ,2006,7,106.149, Kentucky 20067
Total consumption , petroleum coke , Kentucky ,2006,6,105.007, Kentucky 20066
Total consumption , petroleum coke , Kentucky ,2006,5,99.251, Kentucky 20065
Total consumption , petroleum coke , Kentucky ,2006,4,101.279, Kentucky 20064
Total consumption , petroleum coke , Kentucky ,2006,3,94.049, Kentucky 20063
Total consumption , petroleum coke , Kentucky ,2006,2,102.771, Kentucky 20062
Total consumption , petroleum coke , Kentucky ,2006,1,110.534, Kentucky 20061
Total consumption , petroleum coke , Kentucky ,2005,12,108.699, Kentucky 200512
Total consumption , petroleum coke , Kentucky ,2005,11,100.861, Kentucky 200511
Total consumption , petroleum coke , Kentucky ,2005,10,144.048, Kentucky 200510
Total consumption , petroleum coke , Kentucky ,2005,9,118.075, Kentucky 20059
Total consumption , petroleum coke , Kentucky ,2005,8,112.37, Kentucky 20058
Total consumption , petroleum coke , Kentucky ,2005,7,123.825, Kentucky 20057
Total consumption , petroleum coke , Kentucky ,2005,6,118.286, Kentucky 20056
Total consumption , petroleum coke , Kentucky ,2005,5,118.208, Kentucky 20055
Total consumption , petroleum coke , Kentucky ,2005,4,102.145, Kentucky 20054
Total consumption , petroleum coke , Kentucky ,2005,3,122.563, Kentucky 20053
Total consumption , petroleum coke , Kentucky ,2005,2,119.152, Kentucky 20052
Total consumption , petroleum coke , Kentucky ,2005,1,141.035, Kentucky 20051
Total consumption , petroleum coke , Kentucky ,2004,12,126.576, Kentucky 200412
Total consumption , petroleum coke , Kentucky ,2004,11,73.228, Kentucky 200411
Total consumption , petroleum coke , Kentucky ,2004,10,145.882, Kentucky 200410
Total consumption , petroleum coke , Kentucky ,2004,9,89.275, Kentucky 20049
Total consumption , petroleum coke , Kentucky ,2004,8,101.019, Kentucky 20048
Total consumption , petroleum coke , Kentucky ,2004,7,83.848, Kentucky 20047
Total consumption , petroleum coke , Kentucky ,2004,6,75.656, Kentucky 20046
Total consumption , petroleum coke , Kentucky ,2004,5,121.28, Kentucky 20045
Total consumption , petroleum coke , Kentucky ,2004,4,178.529, Kentucky 20044
Total consumption , petroleum coke , Kentucky ,2004,3,132.654, Kentucky 20043
Total consumption , petroleum coke , Kentucky ,2004,2,131.971, Kentucky 20042
Total consumption , petroleum coke , Kentucky ,2004,1,159.249, Kentucky 20041
Total consumption , petroleum coke , Kentucky ,2003,12,148.075, Kentucky 200312
Total consumption , petroleum coke , Kentucky ,2003,11,176.035, Kentucky 200311
Total consumption , petroleum coke , Kentucky ,2003,10,91.708, Kentucky 200310
Total consumption , petroleum coke , Kentucky ,2003,9,128.51, Kentucky 20039
Total consumption , petroleum coke , Kentucky ,2003,8,132.839, Kentucky 20038
Total consumption , petroleum coke , Kentucky ,2003,7,134.681, Kentucky 20037
Total consumption , petroleum coke , Kentucky ,2003,6,115.43, Kentucky 20036
Total consumption , petroleum coke , Kentucky ,2003,5,88.17, Kentucky 20035
Total consumption , petroleum coke , Kentucky ,2003,4,132.054, Kentucky 20034
Total consumption , petroleum coke , Kentucky ,2003,3,1.845, Kentucky 20033
Total consumption , petroleum coke , Kentucky ,2003,2,1.082, Kentucky 20032
Total consumption , petroleum coke , Kentucky ,2003,1,0, Kentucky 20031
Total consumption , petroleum coke , Kentucky ,2002,12,85.23, Kentucky 200212
Total consumption , petroleum coke , Kentucky ,2002,11,67.212, Kentucky 200211
Total consumption , petroleum coke , Kentucky ,2002,10,87.973, Kentucky 200210
Total consumption , petroleum coke , Kentucky ,2002,9,125.561, Kentucky 20029
Total consumption , petroleum coke , Kentucky ,2002,8,145.979, Kentucky 20028
Total consumption , petroleum coke , Kentucky ,2002,7,106.361, Kentucky 20027
Total consumption , petroleum coke , Kentucky ,2002,6,138.155, Kentucky 20026
Total consumption , petroleum coke , Kentucky ,2002,5,106.883, Kentucky 20025
Total consumption , petroleum coke , Kentucky ,2002,4,145.514, Kentucky 20024
Total consumption , petroleum coke , Kentucky ,2002,3,148.09, Kentucky 20023
Total consumption , petroleum coke , Kentucky ,2002,2,140.392, Kentucky 20022
Total consumption , petroleum coke , Kentucky ,2002,1,85.469, Kentucky 20021
Total consumption , petroleum coke , Louisiana ,2017,7,181.23, Louisiana 20177
Total consumption , petroleum coke , Louisiana ,2017,6,154.191, Louisiana 20176
Total consumption , petroleum coke , Louisiana ,2017,5,177.921, Louisiana 20175
Total consumption , petroleum coke , Louisiana ,2017,4,48.191, Louisiana 20174
Total consumption , petroleum coke , Louisiana ,2017,3,156.546, Louisiana 20173
Total consumption , petroleum coke , Louisiana ,2017,2,145.524, Louisiana 20172
Total consumption , petroleum coke , Louisiana ,2017,1,176.581, Louisiana 20171
Total consumption , petroleum coke , Louisiana ,2016,12,173.8, Louisiana 201612
Total consumption , petroleum coke , Louisiana ,2016,11,168.815, Louisiana 201611
Total consumption , petroleum coke , Louisiana ,2016,10,81.602, Louisiana 201610
Total consumption , petroleum coke , Louisiana ,2016,9,172.258, Louisiana 20169
Total consumption , petroleum coke , Louisiana ,2016,8,164.428, Louisiana 20168
Total consumption , petroleum coke , Louisiana ,2016,7,157.256, Louisiana 20167
Total consumption , petroleum coke , Louisiana ,2016,6,158.346, Louisiana 20166
Total consumption , petroleum coke , Louisiana ,2016,5,153.871, Louisiana 20165
Total consumption , petroleum coke , Louisiana ,2016,4,145.69, Louisiana 20164
Total consumption , petroleum coke , Louisiana ,2016,3,122.544, Louisiana 20163
Total consumption , petroleum coke , Louisiana ,2016,2,121.002, Louisiana 20162
Total consumption , petroleum coke , Louisiana ,2016,1,152.084, Louisiana 20161
Total consumption , petroleum coke , Louisiana ,2015,12,125.7, Louisiana 201512
Total consumption , petroleum coke , Louisiana ,2015,11,54.803, Louisiana 201511
Total consumption , petroleum coke , Louisiana ,2015,10,147.559, Louisiana 201510
Total consumption , petroleum coke , Louisiana ,2015,9,165.214, Louisiana 20159
Total consumption , petroleum coke , Louisiana ,2015,8,126.48, Louisiana 20158
Total consumption , petroleum coke , Louisiana ,2015,7,145.136, Louisiana 20157
Total consumption , petroleum coke , Louisiana ,2015,6,61.261, Louisiana 20156
Total consumption , petroleum coke , Louisiana ,2015,5,145.437, Louisiana 20155
Total consumption , petroleum coke , Louisiana ,2015,4,121.435, Louisiana 20154
Total consumption , petroleum coke , Louisiana ,2015,3,90.614, Louisiana 20153
Total consumption , petroleum coke , Louisiana ,2015,2,153.454, Louisiana 20152
Total consumption , petroleum coke , Louisiana ,2015,1,153.933, Louisiana 20151
Total consumption , petroleum coke , Louisiana ,2014,12,182.242, Louisiana 201412
Total consumption , petroleum coke , Louisiana ,2014,11,141.303, Louisiana 201411
Total consumption , petroleum coke , Louisiana ,2014,10,113.922, Louisiana 201410
Total consumption , petroleum coke , Louisiana ,2014,9,167.206, Louisiana 20149
Total consumption , petroleum coke , Louisiana ,2014,8,166.726, Louisiana 20148
Total consumption , petroleum coke , Louisiana ,2014,7,184.477, Louisiana 20147
Total consumption , petroleum coke , Louisiana ,2014,6,176.808, Louisiana 20146
Total consumption , petroleum coke , Louisiana ,2014,5,127.195, Louisiana 20145
Total consumption , petroleum coke , Louisiana ,2014,4,47.885, Louisiana 20144
Total consumption , petroleum coke , Louisiana ,2014,3,158.494, Louisiana 20143
Total consumption , petroleum coke , Louisiana ,2014,2,146.566, Louisiana 20142
Total consumption , petroleum coke , Louisiana ,2014,1,169.946, Louisiana 20141
Total consumption , petroleum coke , Louisiana ,2013,12,115.962, Louisiana 201312
Total consumption , petroleum coke , Louisiana ,2013,11,104.725, Louisiana 201311
Total consumption , petroleum coke , Louisiana ,2013,10,169.323, Louisiana 201310
Total consumption , petroleum coke , Louisiana ,2013,9,158.06, Louisiana 20139
Total consumption , petroleum coke , Louisiana ,2013,8,140.531, Louisiana 20138
Total consumption , petroleum coke , Louisiana ,2013,7,139.356, Louisiana 20137
Total consumption , petroleum coke , Louisiana ,2013,6,156.61, Louisiana 20136
Total consumption , petroleum coke , Louisiana ,2013,5,163.534, Louisiana 20135
Total consumption , petroleum coke , Louisiana ,2013,4,111.698, Louisiana 20134
Total consumption , petroleum coke , Louisiana ,2013,3,129.61, Louisiana 20133
Total consumption , petroleum coke , Louisiana ,2013,2,143.165, Louisiana 20132
Total consumption , petroleum coke , Louisiana ,2013,1,155.926, Louisiana 20131
Total consumption , petroleum coke , Louisiana ,2012,12,109.909, Louisiana 201212
Total consumption , petroleum coke , Louisiana ,2012,11,104.985, Louisiana 201211
Total consumption , petroleum coke , Louisiana ,2012,10,113.794, Louisiana 201210
Total consumption , petroleum coke , Louisiana ,2012,9,74.929, Louisiana 20129
Total consumption , petroleum coke , Louisiana ,2012,8,49.515, Louisiana 20128
Total consumption , petroleum coke , Louisiana ,2012,7,73.88, Louisiana 20127
Total consumption , petroleum coke , Louisiana ,2012,6,67.309, Louisiana 20126
Total consumption , petroleum coke , Louisiana ,2012,5,82.474, Louisiana 20125
Total consumption , petroleum coke , Louisiana ,2012,4,71.924, Louisiana 20124
Total consumption , petroleum coke , Louisiana ,2012,3,68.014, Louisiana 20123
Total consumption , petroleum coke , Louisiana ,2012,2,120.831, Louisiana 20122
Total consumption , petroleum coke , Louisiana ,2012,1,138.69, Louisiana 20121
Total consumption , petroleum coke , Louisiana ,2011,12,132.004, Louisiana 201112
Total consumption , petroleum coke , Louisiana ,2011,11,108.804, Louisiana 201111
Total consumption , petroleum coke , Louisiana ,2011,10,113.93, Louisiana 201110
Total consumption , petroleum coke , Louisiana ,2011,9,139.229, Louisiana 20119
Total consumption , petroleum coke , Louisiana ,2011,8,139.998, Louisiana 20118
Total consumption , petroleum coke , Louisiana ,2011,7,173.92, Louisiana 20117
Total consumption , petroleum coke , Louisiana ,2011,6,138.474, Louisiana 20116
Total consumption , petroleum coke , Louisiana ,2011,5,87.51, Louisiana 20115
Total consumption , petroleum coke , Louisiana ,2011,4,138.075, Louisiana 20114
Total consumption , petroleum coke , Louisiana ,2011,3,177.847, Louisiana 20113
Total consumption , petroleum coke , Louisiana ,2011,2,123.952, Louisiana 20112
Total consumption , petroleum coke , Louisiana ,2011,1,192.927, Louisiana 20111
Total consumption , petroleum coke , Louisiana ,2010,12,77.193, Louisiana 201012
Total consumption , petroleum coke , Louisiana ,2010,11,125.619, Louisiana 201011
Total consumption , petroleum coke , Louisiana ,2010,10,135.677, Louisiana 201010
Total consumption , petroleum coke , Louisiana ,2010,9,103.964, Louisiana 20109
Total consumption , petroleum coke , Louisiana ,2010,8,76.512, Louisiana 20108
Total consumption , petroleum coke , Louisiana ,2010,7,107.388, Louisiana 20107
Total consumption , petroleum coke , Louisiana ,2010,6,86.017, Louisiana 20106
Total consumption , petroleum coke , Louisiana ,2010,5,67.493, Louisiana 20105
Total consumption , petroleum coke , Louisiana ,2010,4,70.903, Louisiana 20104
Total consumption , petroleum coke , Louisiana ,2010,3,79.561, Louisiana 20103
Total consumption , petroleum coke , Louisiana ,2010,2,67.008, Louisiana 20102
Total consumption , petroleum coke , Louisiana ,2010,1,87.732, Louisiana 20101
Total consumption , petroleum coke , Louisiana ,2009,12,70.54, Louisiana 200912
Total consumption , petroleum coke , Louisiana ,2009,11,60.537, Louisiana 200911
Total consumption , petroleum coke , Louisiana ,2009,10,48.195, Louisiana 200910
Total consumption , petroleum coke , Louisiana ,2009,9,55.811, Louisiana 20099
Total consumption , petroleum coke , Louisiana ,2009,8,27.789, Louisiana 20098
Total consumption , petroleum coke , Louisiana ,2009,7,27.293, Louisiana 20097
Total consumption , petroleum coke , Louisiana ,2009,6,25.318, Louisiana 20096
Total consumption , petroleum coke , Louisiana ,2009,5,31.799, Louisiana 20095
Total consumption , petroleum coke , Louisiana ,2009,4,61.766, Louisiana 20094
Total consumption , petroleum coke , Louisiana ,2009,3,63.671, Louisiana 20093
Total consumption , petroleum coke , Louisiana ,2009,2,47.646, Louisiana 20092
Total consumption , petroleum coke , Louisiana ,2009,1,46.191, Louisiana 20091
Total consumption , petroleum coke , Louisiana ,2008,12,57.827, Louisiana 200812
Total consumption , petroleum coke , Louisiana ,2008,11,56.639, Louisiana 200811
Total consumption , petroleum coke , Louisiana ,2008,10,60.032, Louisiana 200810
Total consumption , petroleum coke , Louisiana ,2008,9,55.87, Louisiana 20089
Total consumption , petroleum coke , Louisiana ,2008,8,60.468, Louisiana 20088
Total consumption , petroleum coke , Louisiana ,2008,7,53.852, Louisiana 20087
Total consumption , petroleum coke , Louisiana ,2008,6,56.358, Louisiana 20086
Total consumption , petroleum coke , Louisiana ,2008,5,50.639, Louisiana 20085
Total consumption , petroleum coke , Louisiana ,2008,4,59.75, Louisiana 20084
Total consumption , petroleum coke , Louisiana ,2008,3,62.741, Louisiana 20083
Total consumption , petroleum coke , Louisiana ,2008,2,59.576, Louisiana 20082
Total consumption , petroleum coke , Louisiana ,2008,1,48.203, Louisiana 20081
Total consumption , petroleum coke , Louisiana ,2007,12,64.039, Louisiana 200712
Total consumption , petroleum coke , Louisiana ,2007,11,60.717, Louisiana 200711
Total consumption , petroleum coke , Louisiana ,2007,10,62.924, Louisiana 200710
Total consumption , petroleum coke , Louisiana ,2007,9,64.902, Louisiana 20079
Total consumption , petroleum coke , Louisiana ,2007,8,65.858, Louisiana 20078
Total consumption , petroleum coke , Louisiana ,2007,7,67.684, Louisiana 20077
Total consumption , petroleum coke , Louisiana ,2007,6,63.667, Louisiana 20076
Total consumption , petroleum coke , Louisiana ,2007,5,53.85, Louisiana 20075
Total consumption , petroleum coke , Louisiana ,2007,4,56.176, Louisiana 20074
Total consumption , petroleum coke , Louisiana ,2007,3,65.361, Louisiana 20073
Total consumption , petroleum coke , Louisiana ,2007,2,47.711, Louisiana 20072
Total consumption , petroleum coke , Louisiana ,2007,1,51.329, Louisiana 20071
Total consumption , petroleum coke , Louisiana ,2006,12,64.368, Louisiana 200612
Total consumption , petroleum coke , Louisiana ,2006,11,42.994, Louisiana 200611
Total consumption , petroleum coke , Louisiana ,2006,10,57.633, Louisiana 200610
Total consumption , petroleum coke , Louisiana ,2006,9,50.487, Louisiana 20069
Total consumption , petroleum coke , Louisiana ,2006,8,60.86, Louisiana 20068
Total consumption , petroleum coke , Louisiana ,2006,7,56.655, Louisiana 20067
Total consumption , petroleum coke , Louisiana ,2006,6,53.816, Louisiana 20066
Total consumption , petroleum coke , Louisiana ,2006,5,61.162, Louisiana 20065
Total consumption , petroleum coke , Louisiana ,2006,4,50.095, Louisiana 20064
Total consumption , petroleum coke , Louisiana ,2006,3,50.268, Louisiana 20063
Total consumption , petroleum coke , Louisiana ,2006,2,58.254, Louisiana 20062
Total consumption , petroleum coke , Louisiana ,2006,1,56.948, Louisiana 20061
Total consumption , petroleum coke , Louisiana ,2005,12,65.263, Louisiana 200512
Total consumption , petroleum coke , Louisiana ,2005,11,54.61, Louisiana 200511
Total consumption , petroleum coke , Louisiana ,2005,10,53.762, Louisiana 200510
Total consumption , petroleum coke , Louisiana ,2005,9,43.169, Louisiana 20059
Total consumption , petroleum coke , Louisiana ,2005,8,54.939, Louisiana 20058
Total consumption , petroleum coke , Louisiana ,2005,7,55.367, Louisiana 20057
Total consumption , petroleum coke , Louisiana ,2005,6,59.569, Louisiana 20056
Total consumption , petroleum coke , Louisiana ,2005,5,58.595, Louisiana 20055
Total consumption , petroleum coke , Louisiana ,2005,4,50.873, Louisiana 20054
Total consumption , petroleum coke , Louisiana ,2005,3,62.868, Louisiana 20053
Total consumption , petroleum coke , Louisiana ,2005,2,54.883, Louisiana 20052
Total consumption , petroleum coke , Louisiana ,2005,1,48.322, Louisiana 20051
Total consumption , petroleum coke , Louisiana ,2004,12,63.357, Louisiana 200412
Total consumption , petroleum coke , Louisiana ,2004,11,55.663, Louisiana 200411
Total consumption , petroleum coke , Louisiana ,2004,10,45.469, Louisiana 200410
Total consumption , petroleum coke , Louisiana ,2004,9,58.332, Louisiana 20049
Total consumption , petroleum coke , Louisiana ,2004,8,54.55, Louisiana 20048
Total consumption , petroleum coke , Louisiana ,2004,7,59.15, Louisiana 20047
Total consumption , petroleum coke , Louisiana ,2004,6,59.549, Louisiana 20046
Total consumption , petroleum coke , Louisiana ,2004,5,64.34, Louisiana 20045
Total consumption , petroleum coke , Louisiana ,2004,4,46.06, Louisiana 20044
Total consumption , petroleum coke , Louisiana ,2004,3,56.221, Louisiana 20043
Total consumption , petroleum coke , Louisiana ,2004,2,45.384, Louisiana 20042
Total consumption , petroleum coke , Louisiana ,2004,1,63.244, Louisiana 20041
