Category,Resource,State,Year,Month,Value(thousand tons),state_year_month
Total consumption , petroleum coke , East North Central (total) ,2005,10,52.269, East North Central (total) 200510
Total consumption , petroleum coke , East North Central (total) ,2005,9,48.802, East North Central (total) 20059
Total consumption , petroleum coke , East North Central (total) ,2005,8,51.403, East North Central (total) 20058
Total consumption , petroleum coke , East North Central (total) ,2005,7,42.506, East North Central (total) 20057
Total consumption , petroleum coke , East North Central (total) ,2005,6,49.038, East North Central (total) 20056
Total consumption , petroleum coke , East North Central (total) ,2005,5,62.843, East North Central (total) 20055
Total consumption , petroleum coke , East North Central (total) ,2005,4,70.185, East North Central (total) 20054
Total consumption , petroleum coke , East North Central (total) ,2005,3,51.801, East North Central (total) 20053
Total consumption , petroleum coke , East North Central (total) ,2005,2,47.112, East North Central (total) 20052
Total consumption , petroleum coke , East North Central (total) ,2005,1,57.683, East North Central (total) 20051
Total consumption , petroleum coke , East North Central (total) ,2004,12,62.868, East North Central (total) 200412
Total consumption , petroleum coke , East North Central (total) ,2004,11,63.299, East North Central (total) 200411
Total consumption , petroleum coke , East North Central (total) ,2004,10,42.683, East North Central (total) 200410
Total consumption , petroleum coke , East North Central (total) ,2004,9,54.654, East North Central (total) 20049
Total consumption , petroleum coke , East North Central (total) ,2004,8,55.158, East North Central (total) 20048
Total consumption , petroleum coke , East North Central (total) ,2004,7,56.396, East North Central (total) 20047
Total consumption , petroleum coke , East North Central (total) ,2004,6,60.628, East North Central (total) 20046
Total consumption , petroleum coke , East North Central (total) ,2004,5,67.84, East North Central (total) 20045
Total consumption , petroleum coke , East North Central (total) ,2004,4,59.79, East North Central (total) 20044
Total consumption , petroleum coke , East North Central (total) ,2004,3,49.84, East North Central (total) 20043
Total consumption , petroleum coke , East North Central (total) ,2004,2,54.882, East North Central (total) 20042
Total consumption , petroleum coke , East North Central (total) ,2004,1,65.242, East North Central (total) 20041
Total consumption , petroleum coke , East North Central (total) ,2003,12,5.044, East North Central (total) 200312
Total consumption , petroleum coke , East North Central (total) ,2003,11,14.677, East North Central (total) 200311
Total consumption , petroleum coke , East North Central (total) ,2003,10,18.709, East North Central (total) 200310
Total consumption , petroleum coke , East North Central (total) ,2003,9,15.355, East North Central (total) 20039
Total consumption , petroleum coke , East North Central (total) ,2003,8,23.979, East North Central (total) 20038
Total consumption , petroleum coke , East North Central (total) ,2003,7,9.636, East North Central (total) 20037
Total consumption , petroleum coke , East North Central (total) ,2003,6,10.194, East North Central (total) 20036
Total consumption , petroleum coke , East North Central (total) ,2003,5,16.032, East North Central (total) 20035
Total consumption , petroleum coke , East North Central (total) ,2003,4,11.989, East North Central (total) 20034
Total consumption , petroleum coke , East North Central (total) ,2003,3,7.379, East North Central (total) 20033
Total consumption , petroleum coke , East North Central (total) ,2003,2,11.416, East North Central (total) 20032
Total consumption , petroleum coke , East North Central (total) ,2003,1,15.714, East North Central (total) 20031
Total consumption , petroleum coke , East North Central (total) ,2002,12,5.323, East North Central (total) 200212
Total consumption , petroleum coke , East North Central (total) ,2002,11,7.467, East North Central (total) 200211
Total consumption , petroleum coke , East North Central (total) ,2002,10,12.034, East North Central (total) 200210
Total consumption , petroleum coke , East North Central (total) ,2002,9,8.258, East North Central (total) 20029
Total consumption , petroleum coke , East North Central (total) ,2002,8,18.414, East North Central (total) 20028
Total consumption , petroleum coke , East North Central (total) ,2002,7,20.314, East North Central (total) 20027
Total consumption , petroleum coke , East North Central (total) ,2002,6,21.775, East North Central (total) 20026
Total consumption , petroleum coke , East North Central (total) ,2002,5,22.584, East North Central (total) 20025
Total consumption , petroleum coke , East North Central (total) ,2002,4,20.937, East North Central (total) 20024
Total consumption , petroleum coke , East North Central (total) ,2002,3,19.606, East North Central (total) 20023
Total consumption , petroleum coke , East North Central (total) ,2002,2,8.55, East North Central (total) 20022
Total consumption , petroleum coke , East North Central (total) ,2002,1,19.6, East North Central (total) 20021
